ID;Coil;Prozessabfolge;Ausklinkungen;Richten
2093;C1E;rechts, links;aktiviert;deaktiviert
2094;C1E;rechts, links;aktiviert;deaktiviert
2095;C1E;rechts, links;aktiviert;deaktiviert
2096;C1E;rechts, links;aktiviert;deaktiviert
2097;C1E;rechts, links;aktiviert;deaktiviert
2098;C1E;rechts, links;aktiviert;deaktiviert
2099;C1E;rechts, links;aktiviert;deaktiviert
2100;C1E;rechts, links;aktiviert;deaktiviert
2101;C1E;links, rechts;aktiviert;deaktiviert
2102;C1E;links, rechts;aktiviert;deaktiviert
2103;C1E;links, rechts;aktiviert;deaktiviert
2104;C1E;links, rechts;aktiviert;deaktiviert
2105;C1E;links, rechts;aktiviert;deaktiviert
2106;C1E;links, rechts;aktiviert;deaktiviert
2107;C1E;links, rechts;aktiviert;deaktiviert
2108;C1E;links, rechts;aktiviert;deaktiviert
2109;C1E;links, rechts;aktiviert;deaktiviert
2110;C1E;links, rechts;aktiviert;deaktiviert
2111;C1E;links, rechts;aktiviert;deaktiviert
2112;C1E;links, rechts;aktiviert;deaktiviert
2113;C1E;links, rechts;aktiviert;deaktiviert
2114;C1E;links, rechts;aktiviert;deaktiviert
2115;C1E;links, rechts;aktiviert;deaktiviert
2116;C1E;links, rechts;aktiviert;deaktiviert
2117;C1E;links, rechts;aktiviert;deaktiviert
2118;C1E;links, rechts;aktiviert;deaktiviert
2119;C1E;links, rechts;aktiviert;deaktiviert
2120;C1E;links, rechts;aktiviert;deaktiviert
2121;C1E;links, rechts;aktiviert;deaktiviert
2122;C1E;links, rechts;aktiviert;deaktiviert
2123;C1E;links, rechts;aktiviert;deaktiviert
2124;C1E;links, rechts;aktiviert;deaktiviert
2125;C1E;links, rechts;aktiviert;deaktiviert
2126;C1E;links, rechts;aktiviert;aktiviert
2127;C1E;links, rechts;aktiviert;aktiviert
2128;C1E;links, rechts;aktiviert;aktiviert
2129;C1E;links, rechts;aktiviert;aktiviert
2130;C1E;links, rechts;aktiviert;aktiviert
2131;C1E;links, rechts;aktiviert;aktiviert
2132;C1E;links, rechts;aktiviert;aktiviert
2133;C1E;links, rechts;aktiviert;aktiviert
2134;C1E;links, rechts;aktiviert;aktiviert
2135;C1E;links, rechts;aktiviert;aktiviert
2136;C1E;links, rechts;aktiviert;aktiviert
2137;C1E;links, rechts;aktiviert;aktiviert
2138;C1E;links, rechts;aktiviert;aktiviert
2139;C1E;links, rechts;aktiviert;aktiviert
2140;C1E;links, rechts;aktiviert;aktiviert
2141;C1E;links, rechts;aktiviert;aktiviert
2142;C1E;links, rechts;aktiviert;aktiviert
2143;C1E;links, rechts;aktiviert;aktiviert
2144;C1E;links, rechts;aktiviert;aktiviert
2145;C1E;links, rechts;aktiviert;aktiviert
2146;C1E;links, rechts;aktiviert;aktiviert
2147;C1E;links, rechts;aktiviert;aktiviert
2148;C1E;links, rechts;aktiviert;aktiviert
2149;C1E;links, rechts;aktiviert;aktiviert
2150;C1E;links, rechts;aktiviert;aktiviert
2151;C1E;rechts - halten, links;aktiviert;aktiviert
2152;C1E;rechts - halten, links;aktiviert;aktiviert
2153;C1E;rechts - halten, links;aktiviert;aktiviert
2154;C1E;rechts - halten, links;aktiviert;aktiviert
2155;C1E;rechts - halten, links;aktiviert;aktiviert
2156;C1E;rechts - halten, links;aktiviert;aktiviert
2157;C1E;rechts - halten, links;aktiviert;aktiviert
2158;C1E;rechts - halten, links;aktiviert;aktiviert
2159;C1E;rechts - halten, links;aktiviert;aktiviert
2160;C1E;rechts - halten, links;aktiviert;aktiviert
2161;C1E;rechts - halten, links;aktiviert;aktiviert
2162;C1E;rechts - halten, links;aktiviert;aktiviert
2163;C1E;rechts - halten, links;aktiviert;aktiviert
2164;C1E;rechts - halten, links;aktiviert;aktiviert
2165;C1E;rechts - halten, links;aktiviert;aktiviert
2166;C1E;rechts - halten, links;aktiviert;aktiviert
2167;C1E;rechts - halten, links;aktiviert;aktiviert
2168;C1E;rechts - halten, links;aktiviert;aktiviert
2169;C1E;rechts - halten, links;aktiviert;aktiviert
2170;C1E;rechts - halten, links;aktiviert;aktiviert
2171;C1E;rechts - halten, links;aktiviert;aktiviert
2172;C1E;rechts - halten, links;aktiviert;aktiviert
2173;C1E;rechts - halten, links;aktiviert;aktiviert
2174;C1E;rechts - halten, links;aktiviert;aktiviert
2175;C1E;rechts - halten, links;aktiviert;aktiviert
2176;C1E;rechts - halten, links;aktiviert;deaktiviert
2177;C1E;rechts - halten, links;aktiviert;deaktiviert
2178;C1E;rechts - halten, links;aktiviert;deaktiviert
2179;C1E;rechts - halten, links;aktiviert;deaktiviert
2180;C1E;rechts - halten, links;aktiviert;deaktiviert
2181;C1E;rechts - halten, links;aktiviert;deaktiviert
2182;C1E;rechts - halten, links;aktiviert;deaktiviert
2183;C1E;rechts - halten, links;aktiviert;deaktiviert
2184;C1E;rechts - halten, links;aktiviert;deaktiviert
2185;C1E;rechts - halten, links;aktiviert;deaktiviert
2186;C1E;rechts - halten, links;aktiviert;deaktiviert
2187;C1E;rechts - halten, links;aktiviert;deaktiviert
2188;C1E;rechts - halten, links;aktiviert;deaktiviert
2189;C1E;rechts - halten, links;aktiviert;deaktiviert
2190;C1E;rechts - halten, links;aktiviert;deaktiviert
2191;C1E;rechts - halten, links;aktiviert;deaktiviert
2192;C1E;rechts - halten, links;aktiviert;deaktiviert
2193;C1E;rechts - halten, links;aktiviert;deaktiviert
2194;C1E;rechts - halten, links;aktiviert;deaktiviert
2195;C1E;rechts - halten, links;aktiviert;deaktiviert
2196;C1E;rechts - halten, links;aktiviert;deaktiviert
2197;C1E;rechts - halten, links;aktiviert;deaktiviert
2198;C1E;rechts - halten, links;aktiviert;deaktiviert
2199;C1E;rechts - halten, links;aktiviert;deaktiviert
2200;C1E;rechts - halten, links;aktiviert;deaktiviert
2201;C1E;links - halten, rechts;aktiviert;deaktiviert
2202;C1E;links - halten, rechts;aktiviert;deaktiviert
2203;C1E;links - halten, rechts;aktiviert;deaktiviert
2204;C1E;links - halten, rechts;aktiviert;deaktiviert
2205;C1E;links - halten, rechts;aktiviert;deaktiviert
2206;C1E;links - halten, rechts;aktiviert;deaktiviert
2207;C1E;links - halten, rechts;aktiviert;deaktiviert
2208;C1E;links - halten, rechts;aktiviert;deaktiviert
2209;C1E;links - halten, rechts;aktiviert;deaktiviert
2210;C1E;links - halten, rechts;aktiviert;deaktiviert
2211;C1E;links - halten, rechts;aktiviert;deaktiviert
2212;C1E;links - halten, rechts;aktiviert;deaktiviert
2213;C1E;links - halten, rechts;aktiviert;deaktiviert
2214;C1E;links - halten, rechts;aktiviert;deaktiviert
2215;C1E;links - halten, rechts;aktiviert;deaktiviert
2216;C1E;links - halten, rechts;aktiviert;deaktiviert
2217;C1E;links - halten, rechts;aktiviert;deaktiviert
2218;C1E;links - halten, rechts;aktiviert;deaktiviert
2219;C1E;links - halten, rechts;aktiviert;deaktiviert
