ID;VR;PNC01-Drehmoment;PNC03-Drehmoment;PNC05-Drehmoment;PresseSpindel1-Drehmoment;PresseSpindel2-Drehmoment;PNC01-Weg;PNC03-Weg;PNC05-Weg;L1;L2;L3;L4;L5;a1;a2;a3;a4;R1;R2;R3;R4
751;31;5,36;4,27;10,92;66,2;69,8;34,02;34,019;;18,22895045;10,30463383;24,83605617;5,891043245;17,3392541;125,717521;121,4977706;98,45718519;99,70443751;3,682699305;2,270448759;2,723309497;3,370031564
752;31;5,5;4,67;17,55;68,8;69,1;34,02;34,019;;18,24803586;10,41947334;25,19251433;5,736351324;17,29621114;125,9025751;121,4775704;97,36223339;98,52744027;3,583299691;2,180289365;2,529359579;3,390781694
753;31;5,66;4,65;16,99;68,1;68,6;34,019;34,019;;18,24047136;10,20454616;25,1356721;5,810705787;17,34466279;125,4763063;121,279705;97,52902054;99,00059591;3,784600642;2,195831255;2,568049212;3,361218316
754;31;5,63;4,62;17,23;66;68,8;34,019;34,019;;18,27404904;10,31619873;25,41067207;5,787291829;17,33436001;125,5377402;121,4082381;97,22292079;98,47772698;3,774123712;1,902901881;2,492257652;3,452013233
755;31;5,46;4,75;16,31;65,1;69;34,02;34,019;;18,3867831;10,32189589;25,15009622;5,726686772;17,26739227;126,0903155;121,6620778;97,34108983;98,86627325;3,685217848;2,037470242;2,591504504;3,42753691
756;31;5,43;4,67;16,08;64,2;68,6;34,02;34,019;;18,35468211;10,46283506;25,20577074;5,907053882;17,3516394;126,0802767;121,7825707;97,90017621;99,32159635;3,688549428;1,839621269;2,642526054;3,316106509
757;31;5,58;4,72;16,08;64,3;68,6;34,019;34,019;;18,37114729;10,44372584;25,21753508;5,66878825;17,289096;126,2568655;121,8147511;97,30479895;98,89875109;3,535015168;2,063919012;2,627274495;3,408297861
758;31;5,46;4,61;15,99;63,8;68,8;34,02;34,019;;18,29288753;10,33800329;25,10703019;5,682365414;17,28341877;125,9365841;121,5142029;97,44267195;99,12388599;3,757142312;2,063371604;2,650693218;3,422936492
759;31;5,61;4,69;16,86;63,6;68,8;34,019;34,019;;18,35027653;10,35916469;25,19238021;5,674735183;17,23158672;125,7273266;121,2668673;97,47352308;98,90948278;3,67912685;2,067146137;2,564186792;3,470176491
760;31;5,55;4,84;17,31;63,3;69,6;34,019;34,019;;18,27796356;10,38407417;25,24501961;5,840431506;17,21534014;125,5613432;121,5574072;97,55263413;99,08246572;3,697176942;1,994629985;2,558700985;3,403153835
761;31;5,58;4,67;17,37;65,5;69,1;34,019;34,019;;18,40810119;10,30319881;25,06661858;5,675124547;17,33608895;125,8457852;121,3599184;97,45239347;99,08244564;3,701392665;2,120103433;2,71837848;3,367123431
762;31;5,43;4,67;17,08;68,3;70,6;34,02;34,019;;18,24819223;10,49291156;25,22888834;5,817679158;17,24351123;125,9925526;121,733845;97,98996799;99,45646013;3,720773029;1,886978239;2,607228155;3,357394048
